Class Name;ATFD;CCC;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CLOC;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.example.Application;0;0;0;0;1;3,0;90,0;0,0067;10;8;30,0;1;3;79,2493;1;1;0;1;0;15;0;1;15;0;0;2;0,0;1,0;1
com.example.base.ui.MainErrorHandler;2;0;0;1;1;15,0;2875,3046;0,0674;38;33;191,687;1;15;58,373;14;8;0;1;1;15;0;1;14;0;0;16;0,0;1,0;1
com.example.base.ui.MainLayout;11;2;0;0;3;18,3158;7255,2016;0,1249;73;43;396,1173;2;27;50,3707;19;18;0;3;11;100;N/A;4;97;0;0;21;0,0;1,0;5
com.example.base.ui.component.ViewToolbar;12;1;2;0;3;12,1136;4411,5331;0,0897;71;35;364,1791;1;23;52,2147;10;16;0;1;9;79;N/A;2;78;0;0;8;0,0;1,0;3
com.example.envio_Mails.EnvioEmailView;3;0;0;4;3;16,4423;7314,1978;0,1256;81;45;444,8401;1;27;50,146;18;21;0;1;11;159;0;2;155;0;0;17;0,0;1,0;2
com.example.examplefeature.Task;1;5;3;4;1;22,2727;11941,8866;0,1742;95;50;536,1663;4;46;44,2548;11;20;5;6;5;28;0;10;23;2;0;16;0,1333;0,1667;15
com.example.examplefeature.TaskRepository;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0,0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.example.examplefeature.TaskService;1;1;3;1;1;12,2778;1904,4615;0,0512;33;26;155,1145;1;16;58,2102;6;8;0;2;1;17;0;3;16;0;0;11;1,0;1,0;4
com.example.examplefeature.ui.TaskListView;10;0;3;5;5;39,6;31952,6039;0,3356;128;79;806,8839;1;36;45,6074;47;28;0;1;13;137;0;2;132;0;0;42;0,0;1,0;2
com.example.feature_conversaoDeMoeda.CurrencyView;3;6;6;1;3;34,0854;30285,9424;0,3239;139;84;888,5321;1;54;41,2693;35;38;0;1;8;156;0;2;155;0;0;36;0,0;1,0;9
com.example.pdf.PdfGenerator;3;1;1;0;1;11,25;2459,3529;0,0607;45;29;218,6091;1;25;53,0383;7;13;0;1;0;14;0;1;14;0;0;12;0,0;1,0;2
com.example.pdf.PdfView;1;1;1;0;3;9,9167;2339,8079;0,0587;46;35;235,947;0;22;54,021;11;13;0;0;7;154;0;1;154;0;0;15;0,0;0,0;2
com.example.qrcode.QRCodeGenerator;1;0;1;0;1;10,5;1852,8986;0,0503;38;25;176,4665;1;24;54,0758;5;7;0;2;0;15;0;2;15;0;0;8;0,0;1,0;2
com.example.qrcode.QrCodeView;1;1;1;0;3;11,6316;3006,7195;0,0694;50;36;258,4963;0;20;54,64;10;15;0;0;7;154;0;1;154;0;0;15;0,0;0,0;2
